epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.304,1.79681,3.82648,1.56721,0.00263,0.64516,0.15854,0.04983,1.11488,91.7886,0.99065,0.000545377,0.000545377,0.000545377
2,1083.76,1.70452,2.96909,1.52234,0.31804,0.20632,0.16565,0.08563,1.09896,62.7257,1.13234,0.00108288,0.00108288,0.00108288
3,1610.45,1.73854,2.54857,1.59399,0.62974,0.29493,0.31966,0.17113,1.16165,96.7691,1.15588,0.00160204,0.00160204,0.00160204
4,3285.26,1.74661,2.42842,1.60687,0.03963,0.03226,0.01318,0.00757,1.23876,1192.51,1.3226,0.00158448,0.00158448,0.00158448
5,3882.71,1.69773,2.06368,1.59355,0.65215,0.447,0.50571,0.24496,1.11239,34.4122,1.13375,0.00155698,0.00155698,0.00155698
6,4844.08,1.68244,2.01274,1.60883,0.74492,0.553,0.61019,0.32427,1.06344,25.7528,1.05574,0.00152947,0.00152947,0.00152947
7,7148.27,1.61477,1.77167,1.5503,0.80994,0.5023,0.60073,0.32681,1.06937,22.9475,1.0321,0.00150197,0.00150197,0.00150197
8,7830.36,1.59132,1.66843,1.51481,0.78883,0.56682,0.63899,0.36762,1.00318,6.97775,0.99609,0.00147446,0.00147446,0.00147446
9,8224.79,1.52996,1.53956,1.45064,0.79818,0.63789,0.72764,0.42382,0.9591,12.4001,0.96981,0.00144696,0.00144696,0.00144696
10,9023.35,1.58364,1.58432,1.51207,0.85287,0.61439,0.72831,0.40397,0.95512,5.54377,0.96992,0.00141945,0.00141945,0.00141945
11,12089.7,1.50645,1.46636,1.45978,0.82081,0.70507,0.7831,0.42417,1.01293,8.23133,1.00187,0.00139195,0.00139195,0.00139195
12,401.479,1.53697,1.54634,1.48818,0.85032,0.65448,0.76098,0.42503,0.98132,5.36644,0.97367,0.00136444,0.00136444,0.00136444
13,981.116,1.41776,1.34037,1.39011,0.89488,0.64055,0.73572,0.43938,0.92738,21.9198,0.96201,0.00133693,0.00133693,0.00133693
14,1480.5,1.39782,1.29383,1.3983,0.8234,0.70968,0.77386,0.44991,0.92808,10.9601,0.95957,0.00130943,0.00130943,0.00130943
15,1981.45,1.39673,1.26424,1.38041,0.75541,0.63594,0.68641,0.37548,0.96522,36.9858,0.98546,0.00128192,0.00128192,0.00128192
16,2398.25,1.34309,1.21567,1.35467,0.88819,0.69555,0.80122,0.46805,0.93769,9.43826,0.94301,0.00125442,0.00125442,0.00125442
17,2831.15,1.3575,1.20469,1.3664,0.84392,0.69585,0.78515,0.45904,0.92717,10.4968,0.93217,0.00122691,0.00122691,0.00122691
18,3564.75,1.32484,1.14188,1.33648,0.92237,0.69124,0.80959,0.47544,0.90233,11.2984,0.91857,0.00119941,0.00119941,0.00119941
19,3963.79,1.3222,1.16341,1.32357,0.96041,0.6708,0.81828,0.48109,0.88617,3.5514,0.9252,0.0011719,0.0011719,0.0011719
20,359.421,1.30182,1.15391,1.31612,0.94268,0.64055,0.79738,0.46353,0.91428,2.67833,0.89924,0.0011444,0.0011444,0.0011444
21,722.463,1.24862,1.05828,1.262,0.93752,0.70046,0.82518,0.49756,0.85398,2.62408,0.89222,0.00111689,0.00111689,0.00111689
22,1105.75,1.20451,1.00966,1.26603,0.91655,0.73272,0.83622,0.50033,0.88321,11.9572,0.9106,0.00108938,0.00108938,0.00108938
23,2125.31,1.19846,1.01612,1.24524,0.91172,0.71388,0.84282,0.50173,0.89151,5.89946,0.90692,0.00106188,0.00106188,0.00106188
24,2512.44,1.1978,0.98046,1.2584,0.96021,0.69124,0.84263,0.50592,0.85811,4.28719,0.88785,0.00103437,0.00103437,0.00103437
25,4285.39,1.20417,0.97856,1.25217,0.85164,0.76718,0.86258,0.5217,0.8561,4.24392,0.86338,0.00100687,0.00100687,0.00100687
26,4745.1,1.17251,0.9311,1.2472,0.88609,0.74654,0.84506,0.50977,0.85106,8.95555,0.89374,0.000979362,0.000979362,0.000979362
27,5367.08,1.15093,0.9612,1.22576,0.9303,0.73813,0.86615,0.52851,0.84634,3.86343,0.87894,0.000951857,0.000951857,0.000951857
28,5747.31,1.15268,0.9346,1.21644,0.81795,0.80184,0.87,0.52589,0.85733,4.74912,0.8693,0.000924352,0.000924352,0.000924352
29,6268.96,1.21322,0.97471,1.24464,0.90421,0.78298,0.87072,0.54703,0.84297,1.55809,0.88124,0.000896846,0.000896846,0.000896846
30,6682.41,1.15394,0.93959,1.22454,0.92612,0.7788,0.88678,0.55867,0.79587,1.69884,0.83547,0.00086934,0.00086934,0.00086934
31,7101.08,1.21809,0.92383,1.25333,0.89306,0.7788,0.88704,0.55944,0.81125,4.57354,0.83666,0.000841835,0.000841835,0.000841835
32,7650.21,1.1562,0.93321,1.22127,0.92835,0.77419,0.88942,0.5564,0.82059,1.73369,0.85353,0.000814329,0.000814329,0.000814329
33,8131.69,1.18504,0.92485,1.23325,0.93316,0.77204,0.90582,0.55733,0.81501,2.13606,0.83991,0.000786824,0.000786824,0.000786824
34,8772.27,1.1869,0.92885,1.23215,0.94401,0.77694,0.89288,0.56537,0.82338,3.24249,0.84792,0.000759318,0.000759318,0.000759318
35,1197.21,1.06755,0.85616,1.18499,0.95434,0.7705,0.89775,0.56353,0.82061,1.88763,0.85786,0.000731813,0.000731813,0.000731813
36,2111.86,1.02093,0.81767,1.14793,0.90562,0.80184,0.88486,0.57507,0.79469,1.41281,0.84061,0.000704307,0.000704307,0.000704307
37,2491.28,1.02599,0.78176,1.15778,0.97215,0.74654,0.89486,0.55437,0.82007,1.68755,0.87998,0.000676802,0.000676802,0.000676802
38,3088.54,1.01013,0.78048,1.13882,0.86929,0.82488,0.90242,0.54014,0.84094,1.60131,0.85816,0.000649297,0.000649297,0.000649297
39,3479.3,1.01562,0.76041,1.14328,0.96086,0.79196,0.90876,0.58644,0.80407,1.99305,0.84501,0.000621791,0.000621791,0.000621791
40,4049.04,1.00412,0.75802,1.13499,0.90702,0.78802,0.90854,0.58442,0.80094,1.69978,0.83699,0.000594286,0.000594286,0.000594286
41,4419.19,0.97604,0.75069,1.1314,0.95887,0.75208,0.88732,0.56553,0.82477,1.65329,0.856,0.00056678,0.00056678,0.00056678
42,4779.62,0.97505,0.73934,1.12263,0.94538,0.80184,0.91386,0.57161,0.80769,1.68482,0.8489,0.000539275,0.000539275,0.000539275
43,5149.25,0.95946,0.70464,1.10653,0.9193,0.83871,0.91643,0.59507,0.78353,1.90661,0.83317,0.000511769,0.000511769,0.000511769
44,5532.72,0.96912,0.7251,1.12152,0.91613,0.82028,0.91286,0.59635,0.78696,1.97427,0.83478,0.000484263,0.000484263,0.000484263
45,5921.48,0.91746,0.72057,1.10178,0.94033,0.79881,0.9141,0.60299,0.77933,1.2158,0.83103,0.000456758,0.000456758,0.000456758
46,6325.5,0.97483,0.69587,1.11608,0.92761,0.82667,0.90888,0.58038,0.78613,1.72311,0.82794,0.000429253,0.000429253,0.000429253
47,6894.17,0.93447,0.68728,1.09292,0.95244,0.83052,0.92162,0.60501,0.77209,1.26584,0.81891,0.000401747,0.000401747,0.000401747
48,7408.47,0.95651,0.6861,1.10104,0.94233,0.83871,0.92759,0.60844,0.77217,1.60223,0.82857,0.000374242,0.000374242,0.000374242
49,7773.23,0.93928,0.68937,1.09765,0.93234,0.82557,0.92725,0.61193,0.77212,1.70084,0.81104,0.000346736,0.000346736,0.000346736
50,3687.49,0.86885,0.66115,1.0594,0.92988,0.87097,0.93169,0.61183,0.75935,1.93786,0.8143,0.000319231,0.000319231,0.000319231
51,4436.85,0.93082,0.59957,1.11288,0.93623,0.85253,0.93176,0.59652,0.78047,1.58156,0.82645,0.000291725,0.000291725,0.000291725
52,5064.24,0.8721,0.57134,1.06505,0.94443,0.85253,0.93639,0.61625,0.76576,1.32268,0.81896,0.00026422,0.00026422,0.00026422
53,5430.87,0.8685,0.55848,1.08062,0.9637,0.85635,0.93126,0.61098,0.78372,1.33544,0.82878,0.000236714,0.000236714,0.000236714
54,5805.51,0.85269,0.55255,1.05746,0.9407,0.84793,0.93544,0.60871,0.77326,1.08163,0.82034,0.000209209,0.000209209,0.000209209
55,6265.75,0.85049,0.52417,1.05844,0.94912,0.85966,0.93999,0.62288,0.75005,0.9558,0.80821,0.000181703,0.000181703,0.000181703
56,6696.99,0.84135,0.51911,1.05281,0.92814,0.86175,0.93261,0.62488,0.75546,0.92752,0.8091,0.000154198,0.000154198,0.000154198
57,7102.84,0.82182,0.51456,1.04573,0.96271,0.83292,0.93678,0.62652,0.75303,0.95439,0.81435,0.000126692,0.000126692,0.000126692
58,7523.41,0.81366,0.50824,1.03619,0.95701,0.87558,0.94323,0.62462,0.76886,0.96661,0.82162,9.91865e-05,9.91865e-05,9.91865e-05
59,7937.1,0.80524,0.50104,1.02959,0.94109,0.87097,0.94243,0.62852,0.7633,0.98369,0.819,7.1681e-05,7.1681e-05,7.1681e-05
60,8321.57,0.78128,0.48265,1.01065,0.9193,0.88479,0.9418,0.62948,0.76057,0.98793,0.81547,4.41755e-05,4.41755e-05,4.41755e-05
